posteam,ALY,,,,,,,,,,,,
SF,4.5,,,,,,,,,,,,
NYG,4.47,,,,,,,,,,,,
NE,4.45,,,,,,,,,,,,
SEA,4.42,,,,,,,,,,,,
NYJ,4.38,,,,,,,,,,,,
BAL,4.33,,,,,,,,,,,,
BUF,4.25,,,,,,,,,,,,
WAS,4.24,,,,,,,,,,,,
HOU,4.17,,,,,,,,,,,,
MIN,4.17,,,,,,,,,,,,
CIN,4.15,,,,,,,,,,,,
DEN,4.13,,,,,,,,,,,,
TB,4.09,,,,,,,,,,,,
STL,4.08,,,,,,,,,,,,
DET,4.05,,,,,,,,,,,,
CHI,4.05,,,,,,,,,,,,
JAC,4.05,,,,,,,,,,,,
NO,4.04,,,,,,,,,,,,
KC,4.04,,,,,,,,,,,,
CLE,4.03,,,,,,,,,,,,
MIA,3.93,,,,,,,,,,,,
DAL,3.92,,,,,,,,,,,,
SD,3.91,,,,,,,,,,,,
ATL,3.87,,,,,,,,,,,,
GB,3.86,,,,,,,,,,,,
IND,3.76,,,,,,,,,,,,
PIT,3.72,,,,,,,,,,,,
PHI,3.56,,,,,,,,,,,,
OAK,3.52,,,,,,,,,,,,
CAR,3.49,,,,,,,,,,,,
TEN,3.35,,,,,,,,,,,,
ARI,2.93,,,,,,,,,,,,
