posteam,ALY,,,,,,,,,
DAL,4.4,,,,,,,,,
NO,4.38,,,,,,,,,
BAL,4.25,,,,,,,,,
SEA,4.23,,,,,,,,,
NE,4.22,,,,,,,,,
PIT,4.1,,,,,,,,,
KC,4.08,,,,,,,,,
GB,4.08,,,,,,,,,
MIA,4.06,,,,,,,,,
SF,4.05,,,,,,,,,
CIN,4.03,,,,,,,,,
DEN,3.98,,,,,,,,,
MIN,3.97,,,,,,,,,
ATL,3.96,,,,,,,,,
CHI,3.94,,,,,,,,,
IND,3.94,,,,,,,,,
TEN,3.91,,,,,,,,,
STL,3.9,,,,,,,,,
WAS,3.87,,,,,,,,,
NYJ,3.84,,,,,,,,,
DET,3.79,,,,,,,,,
NYG,3.76,,,,,,,,,
HOU,3.72,,,,,,,,,
ARI,3.68,,,,,,,,,
CLE,3.63,,,,,,,,,
BUF,3.62,,,,,,,,,
CAR,3.6,,,,,,,,,
OAK,3.56,,,,,,,,,
PHI,3.52,,,,,,,,,
JAC,3.52,,,,,,,,,
SD,3.29,,,,,,,,,
TB,3.21,,,,,,,,,
