posteam,ALY,,,,,,,,,,,,,
NE,5.03,,,,,,,,,,,,,
IND,4.83,,,,,,,,,,,,,
NO,5.19,,,,,,,,,,,,,
PIT,4.44,,,,,,,,,,,,,
LAR,5.49,,,,,,,,,,,,,
KC,4.37,,,,,,,,,,,,,
CHI,3.92,,,,,,,,,,,,,
BAL,4.59,,,,,,,,,,,,,
CAR,4.55,,,,,,,,,,,,,
MIN,4.09,,,,,,,,,,,,,
DEN,4.75,,,,,,,,,,,,,
DET,4.14,,,,,,,,,,,,,
LAC,4.8,,,,,,,,,,,,,
ATL,4.08,,,,,,,,,,,,,
TB,3.78,,,,,,,,,,,,,
CLE,4.24,,,,,,,,,,,,,
PHI,4.14,,,,,,,,,,,,,
NYJ,3.59,,,,,,,,,,,,,
CIN,4.1,,,,,,,,,,,,,
NYG,3.9,,,,,,,,,,,,,
GB,4.71,,,,,,,,,,,,,
SF,4.56,,,,,,,,,,,,,
BUF,3.89,,,,,,,,,,,,,
WAS,3.96,,,,,,,,,,,,,
OAK,4.49,,,,,,,,,,,,,
ARI,4,,,,,,,,,,,,,
JAX,4.12,,,,,,,,,,,,,
DAL,4.61,,,,,,,,,,,,,
TEN,4.33,,,,,,,,,,,,,
SEA,4.5,,,,,,,,,,,,,
MIA,4.47,,,,,,,,,,,,,
HOU,3.93,,,,,,,,,,,,,
