posteam,ALY,,,,,,,,,,,,,,,,,
NO,4.92,,,,,,,,,,,,,,,,,
DAL,4.91,,,,,,,,,,,,,,,,,
BAL,4.73,,,,,,,,,,,,,,,,,
TEN,4.65,,,,,,,,,,,,,,,,,
GB,4.63,,,,,,,,,,,,,,,,,
OAK,4.63,,,,,,,,,,,,,,,,,
MIN,4.6,,,,,,,,,,,,,,,,,
SF,4.53,,,,,,,,,,,,,,,,,
NE,4.49,,,,,,,,,,,,,,,,,
CLE,4.46,,,,,,,,,,,,,,,,,
DEN,4.45,,,,,,,,,,,,,,,,,
IND,4.41,,,,,,,,,,,,,,,,,
LAC,4.37,,,,,,,,,,,,,,,,,
PHI,4.34,,,,,,,,,,,,,,,,,
BUF,4.32,,,,,,,,,,,,,,,,,
SEA,4.32,,,,,,,,,,,,,,,,,
CAR,4.3,,,,,,,,,,,,,,,,,
WAS,4.28,,,,,,,,,,,,,,,,,
LAR,4.27,,,,,,,,,,,,,,,,,
DET,4.21,,,,,,,,,,,,,,,,,
HOU,4.13,,,,,,,,,,,,,,,,,
ARI,4.12,,,,,,,,,,,,,,,,,
TB,4,,,,,,,,,,,,,,,,,
ATL,3.98,,,,,,,,,,,,,,,,,
NYG,3.96,,,,,,,,,,,,,,,,,
CIN,3.9,,,,,,,,,,,,,,,,,
JAX,3.88,,,,,,,,,,,,,,,,,
KC,3.88,,,,,,,,,,,,,,,,,
CHI,3.86,,,,,,,,,,,,,,,,,
PIT,3.84,,,,,,,,,,,,,,,,,
NYJ,3.8,,,,,,,,,,,,,,,,,
MIA,3.17,,,,,,,,,,,,,,,,,
