posteam,ASR,,,,,,,,,,,,,,,,,,,,,
STL,0.035,,,,,,,,,,,,,,,,,,,,,
BAL,0.038,,,,,,,,,,,,,,,,,,,1,18,3.50%
NYJ,0.041,,,,,,,,,,,,,,,,,,,2,24,3.80%
OAK,0.046,,,,,,,,,,,,,,,,,,,3,22,4.10%
ARI,0.05,,,,,,,,,,,,,,,,,,,4,33,4.60%
NYG,0.051,,,,,,,,,,,,,,,,,,,5,27,5.00%
NO,0.051,,,,,,,,,,,,,,,,,,,6,27,5.10%
PIT,0.054,,,,,,,,,,,,,,,,,,,7,32,5.10%
ATL,0.054,,,,,,,,,,,,,,,,,,,8,33,5.40%
WAS,0.054,,,,,,,,,,,,,,,,,,,9,32,5.40%
SD,0.054,,,,,,,,,,,,,,,,,,,10,27,5.40%
CHI,0.056,,,,,,,,,,,,,,,,,,,11,40,5.40%
DEN,0.058,,,,,,,,,,,,,,,,,,,12,34,5.60%
TB,0.058,,,,,,,,,,,,,,,,,,,13,39,5.80%
CIN,0.059,,,,,,,,,,,,,,,,,,,14,27,5.80%
IND,0.061,,,,,,,,,,,,,,,,,,,15,32,5.90%
HOU,0.063,,,,,,,,,,,,,,,,,,,16,37,6.10%
NE,0.065,,,,,,,,,,,,,,,,,,,,,
DAL,0.066,,,,,,,,,,,,,,,,,,,Rank,Sacks,Adjusted
PHI,0.066,,,,,,,,,,,,,,,,,,,,,Sack Rate
CAR,0.069,,,,,,,,,,,,,,,,,,,17,36,6.30%
DET,0.069,,,,,,,,,,,,,,,,,,,18,38,6.50%
GB,0.074,,,,,,,,,,,,,,,,,,,19,33,6.60%
MIA,0.076,,,,,,,,,,,,,,,,,,,20,37,6.60%
JAC,0.079,,,,,,,,,,,,,,,,,,,21,33,6.90%
CLE,0.081,,,,,,,,,,,,,,,,,,,22,44,6.90%
BUF,0.084,,,,,,,,,,,,,,,,,,,23,47,7.40%
KC,0.087,,,,,,,,,,,,,,,,,,,24,45,7.60%
MIN,0.088,,,,,,,,,,,,,,,,,,,25,51,7.90%
SEA,0.09,,,,,,,,,,,,,,,,,,,26,53,8.10%
SF,0.091,,,,,,,,,,,,,,,,,,,27,42,8.40%
TEN,0.096,,,,,,,,,,,,,,,,,,,28,46,8.70%
,,,,,,,,,,,,,,,,,,,,29,45,8.80%
,,,,,,,,,,,,,,,,,,,,30,46,9.00%
,,,,,,,,,,,,,,,,,,,,31,53,9.10%
,,,,,,,,,,,,,,,,,,,,,,
