posteam,ASR,,,,,,,,,,,,,,,,,,,,
PIT,0.039,,,,,,,,,,,,,,,,,,,,
NO,0.04,,,,,,,,,,,,,,,,,,,,
LACH,0.042,,,,,,,,,,,,,,,,,,,,
BAL,0.043,,,,,,,,,,,,,,,,,,,,
JAC,0.044,,,,,,,,,,,,,,,,,,,,
MIN,0.044,,,,,,,,,,,,,,,,,,,,
OAK,0.046,,,,,,,,,,,,,,,,,,,,
ATL,0.048,,,,,,,,,,,,,,,,,,,,
LARM,0.056,,,,,,,,,,,,,,,,,,,,
NYG,0.058,,,,,,,,,,,,,,,,,,,,
MIA,0.058,,,,,,,,,,,,,,,,,,,,
PHI,0.062,,,,,,,,,,,,,,,,,,,,
NE,0.064,,,,,,,,,,,,,,,,,,,,
TEN,0.064,,,,,,,,,,,,,,,,,,,,
DAL,0.064,,,,,,,,,,,,,,,,,,,,
TB,0.065,,,,,,,,,,,,,,,,,,,,
KC,0.067,,,,,,,,,,,,,,,,,,,,
SF,0.068,,,,,,,,,,,,,,,,,,,,
CAR,0.071,,,,,,,,,,,,,,,,,,,,
CIN,0.072,,,,,,,,,,,,,,,,,,,,
DET,0.075,,,,,,,,,,,,,,,,,,,,
CLE,0.076,,,,,,,,,,,,,,,,,,,,
CHI,0.077,,,,,,,,,,,,,,,,,,,,
WAS,0.077,,,,,,,,,,,,,,,,,,,,
SEA,0.081,,,,,,,,,,,,,,,,,,,,
ARI,0.081,,,,,,,,,,,,,,,,,,,,
NYJ,0.086,,,,,,,,,,,,,,,,,,,,
GB,0.086,,,,,,,,,,,,,,,,,,,,
DEN,0.091,,,,,,,,,,,,,,,,,,,,
HOU,0.092,,,,,,,,,,,,,,,,,,,,
BUF,0.093,,,,,,,,,,,,,,,,,,,,
IND,0.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
