posteam,ASR,,,,,,,,,,,
LAR,0.054,,,,,,,,,,,
NO,0.044,,,,,,,,,,,
NE,0.038,,,,,,,,,,,
IND,0.041,,,,,,,,,,,
LAC,0.064,,,,,,,,,,,
DEN,0.063,,,,,,,,,,,
GB,0.079,,,,,,,,,,,
DAL,0.097,,,,,,,,,,,
BAL,0.061,,,,,,,,,,,
SF,0.08,,,,,,,,,,,
CAR,0.061,,,,,,,,,,,
SEA,0.104,,,,,,,,,,,
OAK,0.087,,,,,,,,,,,
MIA,0.105,,,,,,,,,,,
PIT,0.044,,,,,,,,,,,
KC,0.054,,,,,,,,,,,
TEN,0.102,,,,,,,,,,,
CLE,0.067,,,,,,,,,,,
PHI,0.067,,,,,,,,,,,
DET,0.063,,,,,,,,,,,
JAX,0.093,,,,,,,,,,,
CIN,0.07,,,,,,,,,,,
MIN,0.061,,,,,,,,,,,
ATL,0.066,,,,,,,,,,,
ARI,0.092,,,,,,,,,,,
WAS,0.085,,,,,,,,,,,
HOU,0.116,,,,,,,,,,,
CHI,0.06,,,,,,,,,,,
NYG,0.074,,,,,,,,,,,
BUF,0.08,,,,,,,,,,,
TB,0.066,,,,,,,,,,,
NYJ,0.067,,,,,,,,,,,
