Team,percentage_yards_rushing,NA
ARI,0.3276611151339609,2009
ATL,0.3469801378192136,2009
BAL,0.3497499038091574,2009
BUF,0.5646231940648184,2009
CAR,0.4841163310961969,2009
CHI,0.4087237479806139,2009
CIN,0.4069135802469136,2009
CLE,0.5,2009
DAL,0.3622516556291391,2009
DEN,0.46366326866162444,2009
DET,0.3180291153415454,2009
GB,0.34345690040196514,2009
HOU,0.38823529411764707,2009
IND,0.27143391988019466,2009
JAX,0.34215230604218805,2009
KC,0.4690332326283988,2009
LAC,0.2674913026671821,2009
LAR,0.374414976599064,2009
MIA,0.4067919075144509,2009
MIN,0.3507491356127545,2009
NE,0.33983495873968494,2009
NO,0.3290676416819013,2009
NYG,0.3117059891107078,2009
NYJ,0.43042452830188677,2009
OAK,0.4779874213836478,2009
PHI,0.3277715980719318,2009
PIT,0.282642689601251,2009
SEA,0.3262826282628263,2009
SF,0.4876179245283019,2009
TB,0.46892445106066244,2009
TEN,0.3914877300613497,2009
WAS,0.3790140208050656,2009
ARI,0.44575273338940286,2010
ATL,0.31536388140161725,2010
BAL,0.3967065868263473,2010
BUF,0.5385199240986718,2010
CAR,0.43442283822920974,2010
CHI,0.3471376370280146,2010
CIN,0.3774347666299155,2010
CLE,0.4293233082706767,2010
DAL,0.35161402290871224,2010
DEN,0.2896011926947447,2010
DET,0.3645364536453645,2010
GB,0.27606871753895323,2010
HOU,0.4097784030953218,2010
IND,0.396078431372549,2010
JAX,0.4422294548413344,2010
KC,0.5363832853025937,2010
LAC,0.41478439425051333,2010
LAR,0.34015151515151515,2010
MIA,0.3042362002567394,2010
MIN,0.4202044025157233,2010
NE,0.39315910837817064,2010
NO,0.3236623963828184,2010
NYG,0.44069640914036995,2010
NYJ,0.48214285714285715,2010
OAK,0.4742503259452412,2010
PHI,0.4367469879518072,2010
PIT,0.3354383358098068,2010
SEA,0.46195121951219514,2010
SF,0.35155328352339754,2010
TB,0.46307977736549166,2010
TEN,0.36778360920468306,2010
WAS,0.31136950904392763,2010
ARI,0.2525027808676307,2011
ATL,0.32694938440492477,2011
BAL,0.38307517944843217,2011
BUF,0.4659876318661331,2011
CAR,0.3873994638069705,2011
CHI,0.3597560975609756,2011
CIN,0.3998419596997234,2011
CLE,0.4904214559386973,2011
DAL,0.3562596599690881,2011
DEN,0.4478323010957599,2011
DET,0.34779083907580055,2011
GB,0.2487272727272727,2011
HOU,0.49114331723027377,2011
IND,0.4399671052631579,2011
JAX,0.4789254284390922,2011
KC,0.35775280898876405,2011
LAC,0.38033458518265617,2011
LAR,0.4977827050997783,2011
MIA,0.3658933658933659,2011
MIN,0.3401053423626787,2011
NE,0.30689296847939035,2011
NO,0.3280999679589875,2011
NYG,0.30127041742286753,2011
NYJ,0.36550566512798993,2011
OAK,0.451215088864708,2011
PHI,0.33701483117702746,2011
PIT,0.37025641025641026,2011
SEA,0.3871975019516003,2011
SF,0.33231039017974573,2011
TB,0.39514788966434033,2011
TEN,0.28299595141700407,2011
WAS,0.3566678333916696,2011
ARI,0.4,2012
ATL,0.29345794392523367,2012
BAL,0.336,2012
BUF,0.46335403726708074,2012
CAR,0.3748657357679914,2012
CHI,0.41864479930945186,2012
CIN,0.29794105773112634,2012
CLE,0.3990498812351544,2012
DAL,0.2625602202339986,2012
DEN,0.3400352733686067,2012
DET,0.329616724738676,2012
GB,0.39158437097466725,2012
HOU,0.338368580060423,2012
IND,0.3534222987516143,2012
JAX,0.4114713216957606,2012
KC,0.37341772151898733,2012
LAC,0.32655367231638416,2012
LAR,0.38476374156219867,2012
MIA,0.41467505241090147,2012
MIN,0.47344461305007585,2012
NE,0.4107282693813626,2012
NO,0.39496084439904666,2012
NYG,0.3715720355349556,2012
NYJ,0.46566901408450706,2012
OAK,0.3950442477876106,2012
PHI,0.3704861111111111,2012
PIT,0.30963740458015265,2012
SEA,0.48558352402745997,2012
SF,0.43933265925176945,2012
