Team,Season,ALY,ASR,SROA_rushing,SROA_passing,winning_percentage,percentage_yards_rushing,percentage_yards_passing,percent_td_rush
GB,2019,4.63,0.064,1.135262577,0.973047685,0.8125,0.3539079620160701,0.6460920379839299,0.4090909090909091
CHI,2019,3.86,0.073,0.948386347,0.973047685,0.5,0.3049907578558225,0.6950092421441775,0.2857142857142857
CAR,2019,4.3,0.086,0.969003442,0.995162405,0.3125,0.4470046082949309,0.5529953917050692,0.5263157894736842
WAS,2019,4.28,0.098,0.969003442,0.928818245,0.1875,0.37648327939590076,0.6235167206040992,0.3
PHI,2019,4.34,0.064,0.993633259,1.039391845,0.5625,0.31718395155185464,0.6828160484481454,0.37209302325581395
BUF,2019,4.32,0.078,0.976873058,0.906703525,0.625,0.4466059602649007,0.5533940397350994,0.37142857142857144
NYJ,2019,3.8,0.092,0.865917969,0.884588804,0.4375,0.26855123674911663,0.7314487632508834,0.23076923076923078
ATL,2019,3.98,0.066,0.845300875,1.061506565,0.4375,0.31802604523646333,0.6819739547635366,0.23809523809523808
MIN,2019,4.6,0.067,0.945441048,1.083621285,0.625,0.42160148975791434,0.5783985102420857,0.4222222222222222
BAL,2019,4.73,0.06,1.204284493,1.083621285,0.875,0.5312960235640648,0.4687039764359352,0.3620689655172414
KC,2019,3.88,0.049,1.02103243,1.105736006,0.75,0.38572942423172024,0.6142705757682798,0.3617021276595745
CLE,2019,4.46,0.072,0.927769253,0.928818245,0.375,0.40569780021637214,0.5943021997836279,0.41025641025641024
TEN,2019,4.65,0.112,1.030854725,0.995162405,0.5625,0.3936411809235428,0.6063588190764573,0.42
LAC,2019,4.37,0.062,1.05147182,1.083621285,0.3125,0.36606471030850263,0.6339352896914974,0.3333333333333333
LAC,2019,4.37,0.062,0.927769253,1.083621285,0.3125,0.36606471030850263,0.6339352896914974,0.3333333333333333
IND,2019,4.41,0.06,1.072088914,0.928818245,0.4375,0.4482343499197432,0.5517656500802568,0.42857142857142855
CIN,2019,3.9,0.073,0.948386347,0.884588804,0.125,0.4685934489402698,0.5314065510597302,0.28125
SEA,2019,4.32,0.079,1.175174387,1.083621285,0.6875,0.4432878679109835,0.5567121320890165,0.3137254901960784
TB,2019,4,0.076,0.879072434,1.017277125,0.4375,0.24716124148372445,0.7528387585162756,0.2727272727272727
SF,2019,4.53,0.069,0.948386347,1.083621285,0.8125,0.38226164079822617,0.6177383592017738,0.4339622641509434
DAL,2019,4.91,0.043,1.154557292,1.149965446,0.5,0.4134078212290503,0.5865921787709497,0.375
NYG,2019,3.96,0.071,0.907152158,0.928818245,0.25,0.3990199509975499,0.6009800490024502,0.24444444444444444
DET,2019,4.21,0.072,1.072088914,0.950932965,0.21875,0.22989593188268684,0.7701040681173131,0.21621621621621623
NE,2019,4.49,0.053,1.010237631,0.973047685,0.75,0.2543270929000353,0.7456729070999647,0.3695652173913043
PIT,2019,3.84,0.066,0.927769253,0.862474084,0.5,0.37337942955920483,0.6266205704407952,0.3333333333333333
PIT,2019,3.84,0.066,1.010237631,0.862474084,0.5,0.37337942955920483,0.6266205704407952,0.3333333333333333
HOU,2019,4.13,0.084,1.072088914,1.061506565,0.625,0.3334505803728456,0.6665494196271544,0.37777777777777777
NO,2019,4.92,0.047,1.148053477,1.172080166,0.8125,0.32708127673576837,0.6729187232642316,0.25
OAK,2019,4.63,0.059,1.045109973,1.105736006,0.4375,0.28961175236096537,0.7103882476390346,0.34210526315789475
DEN,2019,4.45,0.081,0.962053859,0.884588804,0.4375,0.46056338028169014,0.5394366197183098,0.39285714285714285
ATL,2018,4.08,0.066,0.892317893,1.105691057,0.4375,0.3664016591773246,0.6335983408226754,0.22
PHI,2018,4.14,0.067,1.037578945,1.040650407,0.5625,0.3285974499089253,0.6714025500910747,0.2857142857142857
BAL,2018,4.59,0.061,1.156549152,0.932249322,0.625,0.5254629629629629,0.4745370370370371,0.5
BUF,2018,3.89,0.08,0.828333858,0.780487805,0.375,0.3801945181255526,0.6198054818744474,0.45454545454545453
NYG,2018,3.9,0.074,0.850814735,0.932249322,0.3125,0.41280353200883,0.58719646799117,0.35135135135135137
NO,2018,5.19,0.044,1.19496592,1.192411924,0.8125,0.28471138845553823,0.7152886115444618,0.45
TB,2018,3.78,0.066,0.913069472,1.08401084,0.3125,0.28032544378698226,0.7196745562130178,0.23076923076923078
NE,2018,5.03,0.038,1.099833682,1.127371274,0.6875,0.3869472182596291,0.6130527817403709,0.3829787234042553
HOU,2018,3.93,0.116,0.887129998,0.975609756,0.6875,0.3859463276836158,0.6140536723163842,0.3157894736842105
MIN,2018,4.09,0.061,0.904023912,1.062330623,0.53125,0.4277251184834123,0.5722748815165877,0.20454545454545456
SF,2018,4.56,0.08,0.910947151,0.997289973,0.25,0.366693354683747,0.633306645316253,0.1891891891891892
TEN,2018,4.33,0.102,0.910545631,0.975609756,0.5625,0.37752478883584284,0.6224752111641572,0.46875
MIA,2018,4.47,0.105,0.992466817,0.932249322,0.4375,0.3937038476486592,0.6062961523513408,0.2
CIN,2018,4.1,0.07,1.016827366,0.975609756,0.375,0.37438625204582654,0.6256137479541735,0.3170731707317073
IND,2018,4.83,0.041,1.120585261,1.127371274,0.625,0.3182125930941097,0.6817874069058902,0.25
PIT,2018,4.44,0.044,1.016827366,1.08401084,0.59375,0.30006501950585174,0.6999349804941483,0.3076923076923077
CLE,2018,4.24,0.067,1.037578945,0.932249322,0.46875,0.3991031390134529,0.600896860986547,0.32608695652173914
