Team,winning_percentage,Season
ARI,0.625,2009
ATL,0.5625,2009
BAL,0.5625,2009
BUF,0.375,2009
CAR,0.5,2009
CHI,0.4375,2009
CIN,0.625,2009
CLE,0.3125,2009
DAL,0.6875,2009
DEN,0.5,2009
DET,0.125,2009
GB,0.6875,2009
HOU,0.5625,2009
IND,0.875,2009
JAX,0.4375,2009
KC,0.25,2009
LAC,0.8125,2009
LAR,0.0625,2009
MIA,0.4375,2009
MIN,0.75,2009
NE,0.625,2009
NO,0.8125,2009
NYG,0.5,2009
NYJ,0.5625,2009
OAK,0.3125,2009
PHI,0.6875,2009
PIT,0.5625,2009
SEA,0.3125,2009
SF,0.5,2009
TB,0.1875,2009
TEN,0.5,2009
WAS,0.25,2009
ARI,0.3125,2010
ATL,0.8125,2010
BAL,0.75,2010
BUF,0.25,2010
CAR,0.125,2010
CHI,0.6875,2010
CIN,0.25,2010
CLE,0.3125,2010
DAL,0.375,2010
DEN,0.25,2010
DET,0.375,2010
GB,0.625,2010
HOU,0.375,2010
IND,0.625,2010
JAX,0.5,2010
KC,0.625,2010
LAC,0.5625,2010
LAR,0.4375,2010
MIA,0.4375,2010
MIN,0.375,2010
NE,0.875,2010
NO,0.6875,2010
NYG,0.625,2010
NYJ,0.6875,2010
OAK,0.5,2010
PHI,0.625,2010
PIT,0.75,2010
SEA,0.4375,2010
SF,0.375,2010
TB,0.625,2010
TEN,0.375,2010
WAS,0.375,2010
ARI,0.5,2011
ATL,0.625,2011
BAL,0.75,2011
BUF,0.375,2011
CAR,0.375,2011
CHI,0.5,2011
CIN,0.5625,2011
CLE,0.25,2011
DAL,0.5,2011
DEN,0.5,2011
DET,0.625,2011
GB,0.9375,2011
HOU,0.625,2011
IND,0.125,2011
JAX,0.3125,2011
KC,0.4375,2011
LAC,0.5,2011
LAR,0.125,2011
MIA,0.375,2011
MIN,0.1875,2011
NE,0.8125,2011
NO,0.8125,2011
NYG,0.5625,2011
NYJ,0.5,2011
OAK,0.5,2011
PHI,0.5,2011
PIT,0.75,2011
SEA,0.4375,2011
SF,0.8125,2011
TB,0.25,2011
TEN,0.5625,2011
WAS,0.3125,2011
ARI,0.3125,2012
ATL,0.8125,2012
BAL,0.625,2012
BUF,0.375,2012
CAR,0.4375,2012
CHI,0.625,2012
CIN,0.625,2012
CLE,0.3125,2012
DAL,0.5,2012
DEN,0.8125,2012
DET,0.25,2012
GB,0.6875,2012
HOU,0.75,2012
IND,0.6875,2012
JAX,0.125,2012
KC,0.125,2012
LAC,0.4375,2012
LAR,0.46875,2012
MIA,0.4375,2012
MIN,0.625,2012
NE,0.75,2012
NO,0.4375,2012
NYG,0.5625,2012
NYJ,0.375,2012
OAK,0.25,2012
PHI,0.25,2012
PIT,0.5,2012
SEA,0.6875,2012
SF,0.71875,2012
TB,0.4375,2012
TEN,0.375,2012
WAS,0.625,2012
ARI,0.625,2013
ATL,0.25,2013
BAL,0.5,2013
BUF,0.375,2013
CAR,0.75,2013
CHI,0.5,2013
CIN,0.6875,2013
CLE,0.25,2013
DAL,0.5,2013
DEN,0.8125,2013
DET,0.4375,2013
GB,0.53125,2013
HOU,0.125,2013
IND,0.6875,2013
JAX,0.1875,2013
KC,0.6875,2013
LAC,0.5625,2013
LAR,0.4375,2013
MIA,0.5,2013
MIN,0.34375,2013
NE,0.75,2013
NO,0.6875,2013
NYG,0.4375,2013
NYJ,0.5,2013
OAK,0.25,2013
PHI,0.625,2013
PIT,0.4375,2013
SEA,0.8125,2013
SF,0.75,2013
TB,0.25,2013
TEN,0.4375,2013
WAS,0.1875,2013
ARI,0.6875,2014
ATL,0.375,2014
BAL,0.625,2014
BUF,0.5625,2014
CAR,0.46875,2014
CHI,0.3125,2014
CIN,0.65625,2014
CLE,0.4375,2014
DAL,0.75,2014
DEN,0.75,2014
DET,0.6875,2014
GB,0.75,2014
HOU,0.5625,2014
IND,0.6875,2014
JAX,0.1875,2014
KC,0.5625,2014
LAC,0.5625,2014
LAR,0.375,2014
MIA,0.5,2014
MIN,0.4375,2014
NE,0.75,2014
NO,0.4375,2014
NYG,0.375,2014
NYJ,0.25,2014
OAK,0.1875,2014
PHI,0.625,2014
PIT,0.6875,2014
SEA,0.75,2014
SF,0.5,2014
TB,0.125,2014
TEN,0.125,2014
WAS,0.25,2014
ARI,0.8125,2015
ATL,0.5,2015
BAL,0.3125,2015
BUF,0.5,2015
CAR,0.9375,2015
CHI,0.375,2015
CIN,0.75,2015
CLE,0.1875,2015
DAL,0.25,2015
DEN,0.75,2015
DET,0.4375,2015
GB,0.625,2015
HOU,0.5625,2015
IND,0.5,2015
JAX,0.3125,2015
KC,0.6875,2015
LAC,0.25,2015
LAR,0.4375,2015
MIA,0.375,2015
MIN,0.6875,2015
NE,0.75,2015
NO,0.4375,2015
NYG,0.375,2015
NYJ,0.625,2015
OAK,0.4375,2015
PHI,0.4375,2015
PIT,0.625,2015
SEA,0.625,2015
SF,0.3125,2015
TB,0.375,2015
TEN,0.1875,2015
WAS,0.5625,2015
ARI,0.46875,2016
ATL,0.6875,2016
BAL,0.5,2016
BUF,0.4375,2016
CAR,0.375,2016
CHI,0.1875,2016
CIN,0.40625,2016
CLE,0.0625,2016
DAL,0.8125,2016
DEN,0.5625,2016
DET,0.5625,2016
GB,0.625,2016
HOU,0.5625,2016
IND,0.5,2016
JAX,0.1875,2016
KC,0.75,2016
LAC,0.3125,2016
